Rank,Municipality,County,pop 2017,Average residential tax bill 2018,Average change in residental tax bill since 2016,Effective property tax rate 2018,3-year average debt per capita,Median home price 2018,Change in median home price since 2016,Average days on market 2018,Crime rate per 1000 residents 2016,Violent crime rate per 1000 residents 2016,NJM Top High Schools rank 2018
421,Belvidere,Warren,"2,603","$7,038 ",4.40%,3.833,"$71,251 ","$200,000 ",14.30%,69,32.2,0,208
422,Mansfield,Warren,"7,464","$7,834 ",4.50%,3.11,"$97,836 ","$277,500 ",-13.30%,64,17.1,0.3,167
423,Quinton Township,Salem,"2,489","$4,686 ",2.90%,3.054,"$71,219 ","$128,500 ",-17.40%,160,6.2,0,225
424,Audubon,Camden,"8,733","$7,117 ",4.00%,3.48,"$82,300 ","$192,250 ",5.10%,66,40.4,0.6,242
425,Pennsauken,Camden,"35,934","$5,055 ",1.60%,3.507,"$67,620 ","$147,250 ",6.30%,59,29,2.9,289
426,Pemberton Township,Burlington,"27,301","$3,741 ",3.10%,2.299,"$53,983 ","$165,000 ",-1.50%,64,26.6,3.5,252
427,Elizabeth,Union,"130,215","$9,869 ",2.50%,3.424,"$57,982 ","$275,000 ",5.80%,75,40.9,8.3,196
428,Barrington,Camden,"6,781","$8,273 ",1.60%,4.019,"$77,183 ","$184,900 ",-0.10%,70,15.7,0.7,219
429,Bloomingdale,Passaic,"8,242","$10,947 ",3.40%,3.64,"$101,242 ","$282,500 ",-5.50%,75,5.1,0.7,181
430,Woodlynne,Camden,"2,947","$5,280 ",4.50%,7.481,"$23,204 ","$57,500 ",5.60%,59,20.4,3.1,197
431,Linden,Union,"43,056","$9,073 ",4.50%,3.206,"$132,231 ","$275,000 ",7.80%,59,27.6,4,253
432,Newton,Sussex,"7,860","$7,911 ",1.10%,4.029,"$81,048 ","$193,500 ",11.20%,106,19.1,1.6,159
433,Lawnside,Camden,"2,920","$5,553 ",4.10%,4.07,"$74,710 ","$133,000 ",13.20%,58,45.9,6.5,219
434,Pilesgrove,Salem,"3,993","$8,387 ",6.80%,3.229,"$111,623 ","$327,500 ",6.70%,85,11.8,1.2,170
435,Glassboro,Gloucester,"20,011","$6,638 ",2.20%,3.533,"$58,896 ","$190,000 ",10.10%,62,32.8,2.1,234
436,Collingswood,Camden,"14,027","$7,974 ",4.10%,3.471,"$76,115 ","$204,000 ",-6.80%,49,29.8,1.9,197
437,Belleville,Essex,"36,498","$9,501 ",4.20%,3.887,"$75,549 ","$275,000 ",10.00%,57,18.2,1.7,291
438,Edgewater Park,Burlington,"8,738","$5,517 ",6.50%,3.305,"$60,826 ","$169,000 ",11.90%,54,21.2,2.4,220
439,Hillside,Union,"22,274","$9,251 ",0.90%,3.854,"$78,572 ","$255,000 ",13.30%,70,25.2,3.6,281
440,East Orange,Essex,"65,378","$8,919 ",3.20%,4.36,"$44,592 ","$217,000 ",27.60%,76,20.6,6.8,214
441,Ewing,Mercer,"36,549","$6,515 ",-1.20%,3.684,"$77,911 ","$184,000 ",-3.20%,59,22.9,2.1,267
442,Paterson,Passaic,"148,678","$8,087 ",-3.20%,3.767,"$45,357 ","$240,000 ",20.00%,81,29,7.6,303
443,Hackensack,Bergen,"45,248","$8,375 ",5.80%,3.309,"$126,127 ","$230,450 ",-4.90%,59,17.6,2,193
444,Magnolia,Camden,"4,303","$6,274 ",6.20%,4.113,"$62,337 ","$160,000 ",6.20%,52,19.3,2.3,221
445,Netcong,Morris,"3,229","$7,867 ",6.40%,3.298,"$86,251 ","$253,000 ",1.20%,91,12.6,2.2,120
446,Downe Township,Cumberland,"1,524","$3,374 ",3.80%,2.413,"$98,201 ","$135,000 ",5.60%,90,17.8,1.3,301
447,Tuckerton,Ocean,"3,372","$5,503 ",11.70%,2.551,"$121,186 ","$191,750 ",-2.90%,105,13.9,0.9,168
448,Berlin Township,Camden,"5,580","$6,449 ",5.30%,3.532,"$104,380 ","$165,000 ",5.60%,44,47.7,1.1,246
449,Maurice River,Cumberland,"6,325","$4,525 ",2.70%,2.745,"$44,794 ","$139,880 ",-9.80%,73,11,0.9,287
450,Brooklawn,Camden,"1,934","$4,390 ",4.40%,3.573,"$62,592 ","$114,450 ",-0.50%,45,118.5,10.3,212
451,Clayton,Gloucester,"8,676","$5,887 ",2.90%,3.736,"$54,681 ","$167,000 ",1.20%,60,19.5,0.8,204
452,Atlantic City,Atlantic,"38,429","$4,530 ",-24.20%,3.848,"$103,976 ","$115,000 ",16.20%,90,71.2,12.5,229
453,Mount Ephraim,Camden,"4,635","$6,692 ",4.80%,4.444,"$61,667 ","$155,000 ",7.60%,45,37.7,1.9,242
454,Pohatcong,Warren,"3,231","$6,728 ",3.20%,3.647,"$111,011 ","$185,250 ",-8.30%,56,40.1,0.3,183
455,Absecon,Atlantic,"8,283","$5,607 ",2.80%,3.188,"$89,550 ","$159,000 ",-9.10%,80,30.3,1,184
456,South Toms River,Ocean,"3,772","$4,795 ",4.20%,2.866,"$60,286 ","$159,000 ",-0.60%,98,20.3,3.2,164
457,Palmyra,Burlington,"7,221","$5,640 ",3.20%,3.571,"$70,602 ","$162,000 ",7.30%,66,29.1,1.9,256
458,Franklin Borough,Sussex,"4,775","$6,507 ",4.60%,3.604,"$85,650 ","$170,000 ",13.40%,78,15,1.2,188
459,National Park Borough,Gloucester,"2,985","$5,992 ",7.40%,4.349,"$52,762 ","$160,000 ",8.80%,64,16,1.7,200
460,Runnemede,Camden,"8,390","$5,805 ",4.10%,3.842,"$60,873 ","$159,000 ",1.60%,51,43.9,1.2,272
461,Somers Point,Atlantic,"10,480","$6,508 ",8.40%,3.184,"$107,487 ","$201,000 ",2.80%,85,28,3.3,104
462,Wildwood,Cape May,"5,070","$5,101 ",7.50%,2.575,"$276,219 ","$220,000 ",2.30%,116,91.9,13,191
463,Winslow,Camden,"39,041","$5,941 ",3.10%,3.36,"$67,796 ","$180,500 ",-2.40%,77,4.9,1.1,257
464,Passaic,Passaic,"71,247","$9,803 ",6.00%,3.012,"$49,837 ","$297,000 ",11.30%,79,21.2,5.6,285
465,Merchantville,Camden,"3,770","$8,208 ",9.50%,4.274,"$66,027 ","$183,500 ",0.00%,69,10.3,0.3,219
466,Deptford,Gloucester,"30,582","$5,513 ",5.70%,2.955,"$93,581 ","$188,000 ",-0.30%,64,40.2,2.2,249
467,Alloway,Salem,"3,327","$5,869 ",6.90%,2.875,"$87,254 ","$182,000 ",-36.10%,68,11.8,2.4,170
468,Elk Township,Gloucester,"4,175","$7,243 ",6.40%,3.383,"$90,472 ","$232,000 ",-5.30%,60,16.4,0.7,204
469,Andover Township,Sussex,"5,978","$9,310 ",5.10%,3.403,"$114,759 ","$280,000 ",-25.30%,90,7.8,1,159
470,Delanco,Burlington,"4,479","$5,916 ",4.80%,2.917,"$92,790 ","$182,450 ",-14.10%,70,22.7,1.1,220
471,Stratford,Camden,"7,015","$6,753 ",4.70%,4.129,"$61,303 ","$170,000 ",0.70%,57,23,2.1,221
472,Bellmawr,Camden,"11,489","$6,273 ",2.40%,3.964,"$65,893 ","$154,000 ",-0.60%,69,26,1.4,272
473,Gloucester Township,Camden,"64,159","$7,135 ",5.00%,3.776,"$68,214 ","$184,000 ",4.20%,70,17.6,1.4,240
474,Mullica Township,Atlantic,"6,022","$5,475 ",6.70%,2.999,"$78,042 ","$195,000 ",1.40%,107,14.3,1,203
475,Woodstown,Salem,"3,454","$7,255 ",3.50%,3.704,"$77,545 ","$201,750 ",-7.00%,132,14.5,0.9,170
476,Hamburg,Sussex,"3,132","$6,197 ",5.70%,3.708,"$85,634 ","$162,500 ",-8.70%,81,6,0.6,188
477,Monroe Township,Gloucester,"36,920","$7,218 ",2.90%,3.625,"$72,106 ","$196,950 ",2.80%,72,15.8,0.9,244
478,Camden,Camden,"74,532","$1,710 ",7.60%,2.731,"$22,801 ","$65,000 ",-3.00%,62,57.4,20.9,266
479,Paulsboro,Gloucester,"5,920","$3,997 ",5.20%,3.694,"$61,447 ","$119,900 ",0.00%,71,32.1,3.7,190
480,Trenton,Mercer,"84,964","$3,274 ",-10.20%,5.034,"$28,116 ","$60,000 ",-14.20%,59,40.4,13.5,302
481,Woodbury,Gloucester,"9,919","$6,519 ",2.80%,4.65,"$58,455 ","$150,000 ",3.40%,76,43.7,3.7,206
482,Fairfield Township,Cumberland,"6,087","$3,996 ",5.00%,2.807,"$46,036 ","$143,950 ",5.60%,119,11.6,2.4,286
483,Greenwich Township,Gloucester,"4,846","$5,152 ",3.70%,3.018,"$149,865 ","$169,500 ",0.90%,112,17.5,0.6,286
484,Pine Hill,Camden,"10,536","$5,955 ",-2.50%,4.687,"$43,928 ","$123,000 ",-12.10%,70,20.3,2,246
485,Washington,Warren,"6,524","$7,410 ",9.60%,4.099,"$69,756 ","$199,000 ",4.20%,68,15.4,0.9,167
486,Riverton,Burlington,"2,706","$8,760 ",6.30%,3.062,"$102,575 ","$251,000 ",-10.30%,71,20.4,0.7,256
487,Hamilton Township,Atlantic,"26,408","$5,021 ",4.60%,3.036,"$82,948 ","$174,500 ",-5.60%,69,36.5,1.5,227
488,Pittsgrove,Salem,"8,864","$6,532 ",9.80%,3.183,"$73,325 ","$216,750 ",-3.70%,102,9.1,1.5,187
489,Egg Harbor City,Atlantic,"4,174","$6,219 ",-0.90%,4.787,"$54,087 ","$128,000 ",5.60%,85,34.7,3.1,203
490,Burlington City,Burlington,"9,832","$5,195 ",6.60%,3.645,"$64,619 ","$148,500 ",1.00%,67,27.9,5.3,195
491,Plainfield,Union,"51,327","$8,856 ",3.90%,3.548,"$54,140 ","$250,000 ",2.00%,73,25.6,6.8,265
492,Beverly City,Burlington,"2,504","$5,552 ",1.80%,4.254,"$49,552 ","$142,250 ",5.60%,76,28.5,8.2,256
493,Clementon,Camden,"4,959","$5,126 ",1.60%,4.256,"$50,862 ","$111,000 ",-6.30%,74,37,2.8,246
494,Buena Vista,Atlantic,"7,422","$5,338 ",4.70%,2.709,"$78,421 ","$165,500 ",-5.70%,91,15.3,2.3,264
495,Pennsville,Salem,"12,499","$6,382 ",11.70%,4.02,"$79,701 ","$149,000 ",6.40%,97,16.5,0.4,223
496,Haledon,Passaic,"8,463","$10,633 ",5.70%,4.235,"$66,405 ","$297,500 ",16.20%,71,24,3.4,297
497,Gloucester City,Camden,"11,342","$4,641 ",5.90%,4.189,"$47,197 ","$122,500 ",1.20%,107,26.1,1.4,212
498,Hopewell Township,Cumberland,"4,422","$5,137 ",8.10%,2.948,"$75,364 ","$165,900 ",-1.00%,103,11,0.9,286
499,Lawrence,Cumberland,"3,186","$4,561 ",9.90%,2.772,"$70,275 ","$168,000 ",2.10%,75,18.9,1.9,294
,Salem,Salem,"4,774","$3,167 ",-15.20%,6.269,"$29,042 ","$57,500 ",5.60%,105,47.4,11,225
502,Vineland,Cumberland,"60,392","$4,479 ",9.20%,2.584,"$67,838 ","$160,000 ",-3.80%,72,44.7,4.9,264
503,Somerdale,Camden,"5,508","$5,973 ",6.70%,4.043,"$62,470 ","$137,000 ",-8.70%,64,45.6,1.8,221
504,Woodbury Heights,Gloucester,"2,996","$7,846 ",5.30%,4.198,"$87,952 ","$182,000 ",-8.10%,89,22.3,1,200
505,Millville,Cumberland,"27,918","$4,220 ",2.00%,3.091,"$56,396 ","$137,950 ",-1.80%,84,68.7,7.9,287
506,Penns Grove,Salem,"4,831","$4,270 ",1.10%,5.308,"$27,708 ","$94,250 ",5.60%,89,44.1,8.3,250
507,Commercial Township,Cumberland,"5,018","$2,589 ",7.20%,2.684,"$46,371 ","$95,000 ",-26.60%,72,21.1,3,287
508,Buena,Atlantic,"4,429","$5,405 ",7.40%,3.333,"$60,331 ","$152,500 ",0.40%,64,21.4,4.2,264
509,Lindenwold,Camden,"17,471","$4,715 ",4.10%,4.892,"$33,900 ","$106,000 ",-5.40%,67,34.5,6.4,292
510,Bridgeton,Cumberland,"24,505","$3,239 ",6.20%,4.428,"$20,514 ","$90,000 ",20.00%,81,47.5,9.4,301
511,Carneys Point,Salem,"7,702","$4,791 ",4.70%,3.385,"$78,191 ","$132,250 ",-5.50%,90,26.3,3.6,250
512,Chesilhurst,Camden,"1,639","$5,539 ",4.90%,3.54,"$51,468 ","$148,750 ",5.60%,114,30.6,4.9,277
513,City of Orange,Essex,"30,813","$9,248 ",10.80%,4.283,"$48,934 ","$206,000 ",-6.40%,78,39.3,11.4,278
